maze,a_star.npy,dijkstra.npy,bfs.npy
10x10_wall,0.002999544143676758,0.00400090217590332,0.0010006427764892578
10x10_wall_change_1,0.003000974655151367,0.003998279571533203,0.0
10x10_wall_change_2,0.002998828887939453,0.0030012130737304688,0.0009992122650146484
10x10_wall_change_start,0.002000093460083008,0.0040013790130615234,0.0
10x10_columns,0.0020003318786621094,0.0029997825622558594,0.0009999275207519531
10x10_columns_change_1,0.0019989013671875,0.003000020980834961,0.0009996891021728516
10x10_columns_change_2,0.0020105838775634766,0.0029997825622558594,0.0
10x10_columns_change_start,0.002001523971557617,0.002999544143676758,0.0009996891021728516
10x10_board,0.0019979476928710938,0.0029997825622558594,0.0009999275207519531
10x10_board_change_1,0.0009999275207519531,0.0029997825622558594,0.0009999275207519531
10x10_board_change_2,0.0009996891021728516,0.0030002593994140625,0.0010006427764892578
10x10_board_change_start,0.0010001659393310547,0.003998994827270508,0.0010001659393310547
50x50_wall,0.05600118637084961,1.2650082111358643,0.02599334716796875
50x50_wall_change_1,0.049011945724487305,1.2629899978637695,0.025002002716064453
50x50_wall_change_2,0.07399868965148926,1.2369999885559082,0.025000572204589844
50x50_wall_change_start,0.021999597549438477,1.2729997634887695,0.026000022888183594
50x50_columns,0.04899191856384277,1.2190124988555908,0.023999929428100586
50x50_columns_change_1,0.06599974632263184,1.191011905670166,0.024000167846679688
50x50_columns_change_2,0.0670003890991211,1.2109880447387695,0.024999380111694336
50x50_columns_change_start,0.06401205062866211,1.2209994792938232,0.023999929428100586
50x50_board,0.0410001277923584,1.2079999446868896,0.021000146865844727
50x50_board_change_1,0.04700040817260742,1.2529997825622559,0.0240020751953125
50x50_board_change_2,0.042001962661743164,1.1730008125305176,0.019999980926513672
50x50_board_change_start,0.03900027275085449,1.2730004787445068,0.02099919319152832
100x100_wall,0.22798728942871094,20.608999013900757,0.10400056838989258
100x100_wall_change_1,0.2329878807067871,19.94599938392639,0.10001206398010254
100x100_wall_change_2,0.30098986625671387,19.972012281417847,0.10200023651123047
100x100_wall_change_start,0.20000100135803223,19.942001819610596,0.10299825668334961
100x100_columns,0.19999980926513672,19.809012174606323,0.10299968719482422
100x100_columns_change_1,0.28701186180114746,19.31398916244507,0.10300016403198242
100x100_columns_change_2,0.27698850631713867,19.596999883651733,0.10600066184997559
100x100_columns_change_start,0.2650001049041748,19.698999643325806,0.1039881706237793
100x100_board,0.16700005531311035,19.76799988746643,0.08899927139282227
100x100_board_change_1,0.20399999618530273,20.511999368667603,0.10199761390686035
100x100_board_change_2,0.1569995880126953,19.52798819541931,0.09099960327148438
100x100_board_change_start,0.2049884796142578,21.029998540878296,0.09800004959106445
